term,explanation
NR,Not recommended
PF,Personalized feed
GH,Geo-handler; a module responsible for routing features based on user region
CDS,Compliance Detection System
DRT,Data retention threshold; duration for which logs can be stored
LCP,Local compliance policy
Redline,Flag for legal review (different from its traditional business use for 'financial loss')
Softblock,A user-level limitation applied silently without notifications
Spanner,A synthetic name for a rule engine (not to be confused with Google Spanner)
ShadowMode,Deploy feature in non-user-impact way to collect analytics only
T5,Tier 5 sensitivity data; more critical than T1–T4 in this internal taxonomy
ASL,Age-sensitive logic
Glow,"A compliance-flagging status, internally used to indicate geo-based alerts"
NSP,Non-shareable policy (content should not be shared externally)
Jellybean,Feature name for internal parental control system
EchoTrace,Log tracing mode to verify compliance routing
BB,Baseline Behavior; standard user behavior used for anomaly detection
Snowcap,A synthetic codename for the child safety policy framework
FR,Feature rollout status
IMT,Internal monitoring trigger